admonisher.n.01	restrain.v.03	person.n.01
chair.n.01	hold.v.10	person.n.01
chair.n.01	incorporate.v.02	bear.n.01
clock.n.01	against	sky.n.01
clock.n.01	attach.v.03	building.n.01
clock.n.01	have.v.01	face.n.01
clock.n.01	have.v.01	hand.n.08
clock.n.01	sit.v.01	chair.n.01
coat.n.01	cover.v.01	person.n.01
computer.n.01	confront.v.02	person.n.01
computer.n.01	have.v.01	monitor.n.04
counter.n.01	have.v.01	basket.n.01
counter.n.01	have.v.01	box.n.01
counter.n.01	have.v.01	plate.n.02
counter.n.01	have.v.01	pot.n.01
counter.n.01	have.v.01	stove.n.01
counter.n.01	incorporate.v.02	plate.n.02
desk.n.01	have.v.01	chair.n.01
desk.n.01	have.v.01	glass.n.02
desk.n.01	have.v.01	laptop.n.01
desk.n.01	have.v.01	monitor.n.04
desk.n.01	have.v.01	pot.n.04
desk.n.01	have.v.01	telephone.n.01
desk.n.01	have.v.02	computer.n.01
desk.n.01	have.v.02	keyboard.n.01
desk.n.01	have.v.02	lamp.n.02
desk.n.01	hold.v.11	mouse.n.01
dog.n.01	drive.v.01	car.n.01
dog.n.01	have.v.01	bear.n.01
dog.n.01	have.v.01	shirt.n.01
dog.n.01	keep.v.01	ball.n.01
dog.n.01	lean_on.v.01	person.n.01
dog.n.01	look.v.01	dog.n.01
dog.n.01	look.v.01	oven.n.01
dog.n.01	look.v.01	shoe.n.01
dog.n.01	look.v.01	tree.n.01
dog.n.01	pull.v.01	horse.n.01
dog.n.01	ride.v.01	car.n.01
dog.n.01	ride.v.01	dog.n.01
dog.n.01	ride.v.01	motorcycle.n.01
dog.n.01	ride.v.01	person.n.01
dog.n.01	ride.v.02	boat.n.01
dog.n.01	sit.v.01	bench.n.01
dog.n.01	sit.v.01	person.n.01
dog.n.01	sit.v.01	shelf.n.01
dog.n.01	sleep.v.01	sofa.n.01
dog.n.01	stand.v.01	boat.n.01
dog.n.01	stand.v.01	street.n.01
dog.n.01	tall.a.01	person.n.01
dog.n.01	use.v.01	laptop.n.01
dog.n.01	watch.v.01	monitor.n.04
dog.n.01	wear.v.01	bloomers.n.01
dog.n.01	wear.v.01	helmet.n.01
dog.n.01	wear.v.01	jacket.n.01
dog.n.01	wear.v.01	spectacles.n.01
dog.n.01	wear.v.02	shirt.n.01
elephant.n.01	cover.v.01	car.n.01
elephant.n.01	feed.v.01	plant.n.01
elephant.n.01	hold.v.02	person.n.01
elephant.n.01	hold.v.02	plant.n.02
elephant.n.01	look.v.01	grass.n.01
elephant.n.01	ride.v.01	bicycle.n.01
elephant.n.01	sleep.v.01	person.n.01
elephant.n.01	stand.v.01	grass.n.01
elephant.n.01	stand.v.03	street.n.02
elephant.n.01	tall.a.01	person.n.01
elephant.n.01	wear.v.01	spectacles.n.01
elephant.n.01	wear.v.01	trouser.n.01
engine.n.01	attach.v.03	airplane.n.01
engine.n.01	attach_to.v.01	airplane.n.01
engine.n.01	have.v.01	grass.n.01
faucet.n.01	attach.v.01	sink.n.01
giraffe.n.01	eat.v.01	grass.n.01
giraffe.n.01	have.v.01	person.n.01
giraffe.n.01	have.v.02	face.n.01
giraffe.n.01	lie.v.02	grass.n.01
giraffe.n.01	look.v.01	grass.n.01
giraffe.n.01	look.v.01	hand.n.01
giraffe.n.01	sit.v.01	grass.n.01
giraffe.n.01	stand.v.01	grass.n.01
giraffe.n.01	touch.v.01	street.n.01
glass.n.01	cover.v.01	cabinet.n.01
glass.n.02	have.v.01	plant.n.01
grass.n.01	get.v.03	grass.n.01
gun.n.01	eat.v.01	grass.n.01
hand.n.01	have.v.01	pizza.n.01
hand.n.01	have.v.01	telephone.n.01
hand.n.01	hold.v.02	bag.n.01
hand.n.01	hold.v.02	camera.n.01
hand.n.01	hold.v.02	cup.n.01
hand.n.01	hold.v.02	telephone.n.01
hand.n.01	hold.v.02	umbrella.n.01
hat.n.01	cover.v.01	person.n.01
hat.n.01	have.v.02	tie.n.04
helmet.n.01	cover.v.01	person.n.01
horse.n.01	confront.v.01	car.n.01
horse.n.01	feed.v.06	grass.n.01
horse.n.01	follow.v.01	person.n.01
horse.n.01	have.v.01	hat.n.01
horse.n.01	have.v.01	person.n.01
horse.n.01	look.v.01	grass.n.01
horse.n.01	pull.v.01	train.n.01
horse.n.01	search.v.02	tree.n.01
horse.n.01	stand.v.01	street.n.02
horse.n.01	transport.v.02	bag.n.01
horse.n.01	transport.v.02	person.n.01
horse.n.01	walk.v.04	horse.n.01
horse.n.01	wear.v.01	hat.n.01
jacket.n.01	cover.v.01	person.n.01
jean.n.01	lie.v.01	motorcycle.n.01
keyboard.n.01	attach_to.v.01	laptop.n.01
kite.n.03	fly.v.01	person.n.01
kite.n.03	fly.v.01	sky.n.01
laptop.n.01	have.v.01	keyboard.n.01
laptop.n.01	have.v.01	monitor.n.04
laptop.n.01	lie.v.01	chair.n.01
manner.n.01	transport.v.02	doughnut.n.02
monitor.n.04	have.v.02	clock.n.01
monitor.n.05	have	mouse.n.04
motorcycle.n.01	have	helmet.n.02
motorcycle.n.01	have.v.01	bag.n.01
motorcycle.n.01	have.v.01	cup.n.01
motorcycle.n.01	have.v.01	engine.n.01
motorcycle.n.01	have.v.01	helmet.n.01
motorcycle.n.01	have.v.01	person.n.01
motorcycle.n.01	have.v.01	plate.n.02
motorcycle.n.01	have.v.02	bag.n.01
motorcycle.n.01	have.v.02	box.n.01
motorcycle.n.01	incorporate.v.02	box.n.01
motorcycle.n.01	keep.v.01	bottle.n.01
motorcycle.n.01	keep.v.01	tree.n.01
motorcycle.n.01	lean.v.02	building.n.01
motorcycle.n.01	lean_on.v.01	tree.n.01
motorcycle.n.01	park.v.01	road.n.01
motorcycle.n.01	park.v.02	grass.n.01
motorcycle.n.01	park.v.02	street.n.01
motorcycle.n.01	ride.v.02	street.n.02
motorcycle.n.01	sit.v.02	motorcycle.n.01
motorcycle.n.01	stand.v.01	street.n.02
motorcycle.n.01	stand.v.03	street.n.02
motorcycle.n.01	touch.v.01	motorcycle.n.01
motorcycle.n.01	transport.v.02	person.n.01
mountain.n.01	against	sky.n.01
mountain.n.01	have.v.01	bush.n.02
mountain.n.01	have.v.01	grass.n.01
mouse.n.04	attach_to.v.01	laptop.n.01
necktie.n.01	touch.v.01	shirt.n.01
oven.n.01	have.v.01	clock.n.01
paper.n.01	against	person.n.01
person.n.01	adjust.v.01	ski.n.01
person.n.01	against	person.n.01
person.n.01	align.v.01	necktie.n.01
person.n.01	align.v.01	snowboard.n.01
person.n.01	assemble.v.01	kite.n.01
person.n.01	attach_to	kite.n.03
person.n.01	audit.v.01	airplane.n.01
person.n.01	beckon.v.01	bus.n.01
person.n.01	blow.v.01	cake.n.01
person.n.01	board.v.01	airplane.n.01
person.n.01	board.v.01	boat.n.01
person.n.01	board.v.01	bus.n.01
person.n.01	board.v.01	car.n.01
person.n.01	board.v.01	train.n.01
person.n.01	break.v.05	baseball_bat.n.01
person.n.01	brush.v.01	toothbrush.n.01
person.n.01	buy.v.01	banana.n.01
person.n.01	buy.v.01	doughnut.n.02
person.n.01	buy.v.01	orange.n.01
person.n.01	buy.v.01	pizza.n.01
person.n.01	carry.v.02	backpack.n.01
person.n.01	carry.v.02	bag.n.04
person.n.01	carry.v.02	baggage.n.01
person.n.01	carry.v.02	ball.n.01
person.n.01	carry.v.02	baseball_bat.n.01
person.n.01	carry.v.02	bicycle.n.01
person.n.01	carry.v.02	bottle.n.01
person.n.01	carry.v.02	camera.n.01
person.n.01	carry.v.02	carrot.n.01
person.n.01	carry.v.02	dog.n.01
person.n.01	carry.v.02	keyboard.n.01
person.n.01	carry.v.02	kite.n.03
person.n.01	carry.v.02	plate.n.02
person.n.01	carry.v.02	sandwich.n.01
person.n.01	carry.v.02	sheep.n.01
person.n.01	carry.v.02	skateboard.n.01
person.n.01	carry.v.02	sunglasses.n.01
person.n.01	carry.v.02	teddy.n.01
person.n.01	carry.v.02	tennis_racket.n.01
person.n.01	catch.v.04	ball.n.01
person.n.01	catch.v.04	frisbee.n.01
person.n.01	chase.v.01	bird.n.01
person.n.01	chase.v.01	cat.n.01
person.n.01	chase.v.01	dog.n.01
person.n.01	check.v.01	parking_meter.n.01
person.n.01	check.v.02	clock.n.01
person.n.01	clean.v.01	dining_table.n.01
person.n.01	clean.v.01	oven.n.01
person.n.01	clean.v.01	toilet.n.01
person.n.01	confront.v.03	street.n.01
person.n.01	cook.v.01	hotdog.n.02
person.n.01	cook.v.01	sandwich.n.01
person.n.01	cook.v.02	pizza.n.01
person.n.01	cream.v.02	person.n.01
person.n.01	crunch.v.02	skateboard.n.01
person.n.01	cut.v.01	apple.n.01
person.n.01	cut.v.01	banana.n.01
person.n.01	cut.v.01	carrot.n.01
person.n.01	cut.v.01	necktie.n.01
person.n.01	cut.v.01	sandwich.n.01
person.n.01	cut.v.01	scissors.n.01
person.n.01	cut.v.04	cake.n.03
person.n.01	cut.v.04	orange.n.01
person.n.01	cut.v.04	pizza.n.01
person.n.01	cut.v.28	broccoli.n.01
person.n.01	decant.v.01	cup.n.01
person.n.01	direct.v.01	car.n.01
person.n.01	discipline.v.01	horse.n.01
person.n.01	drag.v.01	bag.n.06
person.n.01	drag.v.01	surfboard.n.01
person.n.01	dress.v.15	dog.n.01
person.n.01	dribble.v.03	ball.n.01
person.n.01	drink.v.01	bottle.n.01
person.n.01	drink.v.01	cup.n.01
person.n.01	drive.v.01	boat.n.01
person.n.01	drive.v.01	bus.n.01
person.n.01	drive.v.01	car.n.01
person.n.01	drive.v.01	elephant.n.01
person.n.01	drive.v.01	motorcycle.n.01
person.n.01	drive.v.01	train.n.01
person.n.01	drive.v.01	truck.n.01
person.n.01	dry.v.01	cat.n.01
person.n.01	dry.v.01	dog.n.01
person.n.01	eat.v.01	banana.n.01
person.n.01	eat.v.01	cake.n.03
person.n.01	eat.v.01	carrot.n.01
person.n.01	eat.v.01	doughnut.n.02
person.n.01	eat.v.01	hotdog.n.02
person.n.01	eat.v.01	orange.n.01
person.n.01	eat.v.01	pizza.n.01
person.n.01	eat.v.02	dining_table.n.01
person.n.01	eat.v.02	sandwich.n.01
person.n.01	embrace.v.02	cat.n.01
person.n.01	embrace.v.02	cow.n.01
person.n.01	embrace.v.02	horse.n.01
person.n.01	embrace.v.02	person.n.01
person.n.01	embrace.v.02	sheep.n.01
person.n.01	embrace.v.02	teddy.n.01
person.n.01	exit.v.01	airplane.n.01
person.n.01	exit.v.01	boat.n.01
person.n.01	exit.v.01	bus.n.01
person.n.01	exit.v.01	train.n.01
person.n.01	face.v.05	bus.n.01
person.n.01	feed.v.01	bear.n.01
person.n.01	feed.v.02	bird.n.01
person.n.01	feed.v.02	cow.n.01
person.n.01	feed.v.02	dog.n.01
person.n.01	feed.v.02	elephant.n.01
person.n.01	feed.v.02	giraffe.n.01
person.n.01	feed.v.02	horse.n.01
person.n.01	feed.v.02	person.n.01
person.n.01	feed.v.02	sheep.n.01
person.n.01	feed.v.02	zebra.n.01
person.n.01	fill.v.01	cup.n.01
person.n.01	fleece.v.02	sheep.n.01
person.n.01	flip.v.05	skateboard.n.01
person.n.01	flush.v.02	toilet.n.01
person.n.01	fly.v.01	airplane.n.01
person.n.01	fly.v.01	kite.n.01
person.n.01	follow.v.01	person.n.01
person.n.01	front.v.01	person.n.01
person.n.01	greet.v.01	person.n.01
person.n.01	grind.v.07	snowboard.n.01
person.n.01	groom.v.03	horse.n.01
person.n.01	have.v.01	bag.n.01
person.n.01	have.v.01	bag.n.06
person.n.01	have.v.01	ball.n.01
person.n.01	have.v.01	basket.n.01
person.n.01	have.v.01	bed.n.01
person.n.01	have.v.01	bicycle.n.01
person.n.01	have.v.01	bottle.n.01
person.n.01	have.v.01	box.n.01
person.n.01	have.v.01	camera.n.01
person.n.01	have.v.01	cat.n.01
person.n.01	have.v.01	coat.n.01
person.n.01	have.v.01	cow.n.01
person.n.01	have.v.01	cup.n.01
person.n.01	have.v.01	dog.n.01
person.n.01	have.v.01	face.n.01
person.n.01	have.v.01	helmet.n.01
person.n.01	have.v.01	horse.n.01
person.n.01	have.v.01	jacket.n.01
person.n.01	have.v.01	laptop.n.01
person.n.01	have.v.01	motorcycle.n.01
person.n.01	have.v.01	mouse.n.01
person.n.01	have.v.01	necktie.n.01
person.n.01	have.v.01	paper.n.01
person.n.01	have.v.01	person.n.01
person.n.01	have.v.01	plate.n.03
person.n.01	have.v.01	shirt.n.01
person.n.01	have.v.01	short_pants.n.01
person.n.01	have.v.01	skateboard.n.01
person.n.01	have.v.01	ski.n.01
person.n.01	have.v.01	snowboard.n.01
person.n.01	have.v.01	sunglasses.n.01
person.n.01	have.v.01	surfboard.n.01
person.n.01	have.v.01	umbrella.n.01
person.n.01	have.v.01	vase.n.01
person.n.01	have.v.01	watch.n.01
person.n.01	herd.v.01	cow.n.01
person.n.01	herd.v.01	sheep.n.01
person.n.01	hit.v.01	ball.n.01
person.n.01	hold.v.02	apple.n.01
person.n.01	hold.v.02	backpack.n.01
person.n.01	hold.v.02	bag.n.04
person.n.01	hold.v.02	bag.n.06
person.n.01	hold.v.02	ball.n.01
person.n.01	hold.v.02	baseball_glove.n.01
person.n.01	hold.v.02	basket.n.01
person.n.01	hold.v.02	bear.n.01
person.n.01	hold.v.02	bench.n.01
person.n.01	hold.v.02	bicycle.n.01
person.n.01	hold.v.02	bird.n.01
person.n.01	hold.v.02	book.n.01
person.n.01	hold.v.02	broccoli.n.01
person.n.01	hold.v.02	cake.n.01
person.n.01	hold.v.02	camera.n.01
person.n.01	hold.v.02	carrot.n.01
person.n.01	hold.v.02	cart.n.01
person.n.01	hold.v.02	chair.n.01
person.n.01	hold.v.02	clock.n.01
person.n.01	hold.v.02	computer.n.01
person.n.01	hold.v.02	cone.n.01
person.n.01	hold.v.02	cup.n.01
person.n.01	hold.v.02	dog.n.01
person.n.01	hold.v.02	doughnut.n.02
person.n.01	hold.v.02	elephant.n.01
person.n.01	hold.v.02	fork.n.01
person.n.01	hold.v.02	frisbee.n.01
person.n.01	hold.v.02	giraffe.n.01
person.n.01	hold.v.02	hand.n.01
person.n.01	hold.v.02	hat.n.01
person.n.01	hold.v.02	hotdog.n.02
person.n.01	hold.v.02	jacket.n.01
person.n.01	hold.v.02	keyboard.n.01
person.n.01	hold.v.02	knife.n.01
person.n.01	hold.v.02	laptop.n.01
person.n.01	hold.v.02	oven.n.01
person.n.01	hold.v.02	paper.n.01
person.n.01	hold.v.02	person.n.01
person.n.01	hold.v.02	pillow.n.01
person.n.01	hold.v.02	pot.n.01
person.n.01	hold.v.02	potted.a.01
person.n.01	hold.v.02	remote_control.n.01
person.n.01	hold.v.02	scissors.n.01
person.n.01	hold.v.02	shirt.n.01
person.n.01	hold.v.02	shoe.n.01
person.n.01	hold.v.02	ski.n.01
person.n.01	hold.v.02	snowboard.n.01
person.n.01	hold.v.02	spectacles.n.01
person.n.01	hold.v.02	surfboard.n.01
person.n.01	hold.v.02	telephone.n.01
person.n.01	hold.v.02	tennis_racket.n.01
person.n.01	hold.v.02	toaster.n.01
person.n.01	hold.v.02	toothbrush.n.01
person.n.01	hold.v.02	umbrella.n.01
person.n.01	hold.v.02	vase.n.01
person.n.01	hold.v.02	wheel.n.01
person.n.01	hold.v.02	wine.n.01
person.n.01	hold.v.02	zebra.n.01
person.n.01	hold.v.22	horse.n.01
person.n.01	hop_on.v.01	bicycle.n.01
person.n.01	hop_on.v.01	elephant.n.01
person.n.01	hop_on.v.01	horse.n.01
person.n.01	hop_on.v.01	motorcycle.n.01
person.n.01	hose.v.01	car.n.01
person.n.01	hose.v.01	elephant.n.01
person.n.01	hose.v.01	potted.a.01
person.n.01	hunt.v.01	bear.n.01
person.n.01	inspect.v.01	apple.n.01
person.n.01	inspect.v.01	backpack.n.01
person.n.01	inspect.v.01	bag.n.04
person.n.01	inspect.v.01	ball.n.01
person.n.01	inspect.v.01	bench.n.01
person.n.01	inspect.v.01	bicycle.n.01
person.n.01	inspect.v.01	bottle.n.01
person.n.01	inspect.v.01	bus.n.01
person.n.01	inspect.v.01	dog.n.01
person.n.01	inspect.v.01	kite.n.03
person.n.01	inspect.v.01	motorcycle.n.01
person.n.01	inspect.v.01	necktie.n.01
person.n.01	inspect.v.01	oven.n.01
person.n.01	inspect.v.01	ski.n.01
person.n.01	inspect.v.01	surfboard.n.01
person.n.01	inspect.v.01	truck.n.01
person.n.01	install.v.01	traffic_light.n.01
person.n.01	jab.v.01	person.n.01
person.n.01	jump.v.01	bicycle.n.01
person.n.01	jump.v.01	boat.n.01
person.n.01	jump.v.01	horse.n.01
person.n.01	jump.v.01	motorcycle.n.01
person.n.01	jump.v.01	surfboard.n.01
person.n.01	jump.v.11	ski.n.01
person.n.01	keep.v.01	ball.n.01
person.n.01	keep.v.01	banana.n.01
person.n.01	keep.v.01	bowl.n.01
person.n.01	keep.v.01	can.n.01
person.n.01	keep.v.01	hand_blower.n.01
person.n.01	keep.v.01	motorcycle.n.01
person.n.01	keep.v.01	necktie.n.01
person.n.01	keep.v.01	orange.n.01
person.n.01	keep.v.01	pizza.n.01
person.n.01	keep.v.01	post.n.01
person.n.01	keep.v.01	refrigerator.n.01
person.n.01	keep.v.01	sandwich.n.01
person.n.01	keep.v.01	spoon.n.01
person.n.01	keep.v.01	stop_sign
person.n.01	kick.v.01	ball.n.01
person.n.01	lasso.v.01	cow.n.02
person.n.01	launch.v.02	kite.n.02
person.n.01	launch.v.03	boat.n.01
person.n.01	lean.v.01	truck.n.01
person.n.01	lean.v.02	table.n.02
person.n.01	lean_on.v.01	bench.n.01
person.n.01	lean_on.v.01	car.n.01
person.n.01	lean_on.v.01	chair.n.01
person.n.01	lean_on.v.01	hand.n.01
person.n.01	lean_on.v.01	hydrant.n.02
person.n.01	lean_on.v.01	motorcycle.n.01
person.n.01	lean_on.v.01	pillow.n.01
person.n.01	lean_on.v.01	sofa.n.01
person.n.01	let_go_of.v.01	bird.n.01
person.n.01	lick.v.02	bowl.n.01
person.n.01	lick.v.02	fork.n.01
person.n.01	lick.v.02	spoon.n.01
person.n.01	lick.v.02	wine.n.01
person.n.01	lie.v.01	table.n.02
person.n.01	lie.v.02	bench.n.01
person.n.01	lie.v.02	chair.n.01
person.n.01	lie.v.02	grass.n.01
person.n.01	lie.v.02	sofa.n.01
person.n.01	lie.v.02	surfboard.n.01
person.n.01	light.v.01	cake.n.03
person.n.01	load.v.01	airplane.n.01
person.n.01	load.v.01	bag.n.06
person.n.01	load.v.01	bus.n.01
person.n.01	load.v.01	car.n.01
person.n.01	load.v.01	horse.n.01
person.n.01	load.v.01	train.n.01
person.n.01	load.v.01	truck.n.01
person.n.01	load.v.04	surfboard.n.01
person.n.01	lodge.v.02	knife.n.01
person.n.01	look.v.01	airplane.n.01
person.n.01	look.v.01	bag.n.06
person.n.01	look.v.01	ball.n.01
person.n.01	look.v.01	bench.n.01
person.n.01	look.v.01	boat.n.01
person.n.01	look.v.01	car.n.01
person.n.01	look.v.01	computer.n.01
person.n.01	look.v.01	elephant.n.01
person.n.01	look.v.01	handcart.n.01
person.n.01	look.v.01	horse.n.01
person.n.01	look.v.01	kite.n.03
person.n.01	look.v.01	laptop.n.01
person.n.01	look.v.01	monitor.n.04
person.n.01	look.v.01	motorcycle.n.01
person.n.01	look.v.01	pizza.n.01
person.n.01	look.v.01	plate.n.02
person.n.01	look.v.01	ski.n.01
person.n.01	look.v.01	sofa.n.01
person.n.01	look.v.01	street.n.01
person.n.01	look.v.01	surfboard.n.01
person.n.01	look.v.01	table.n.01
person.n.01	look.v.01	telephone.n.01
person.n.01	look.v.01	tower.n.01
person.n.01	look.v.01	train.n.01
person.n.01	look.v.01	watch.n.01
person.n.01	look.v.02	hydrant
person.n.01	lose.v.01	umbrella.n.01
person.n.01	make.v.03	doughnut.n.02
person.n.01	manipulate.v.05	mouse.n.01
person.n.01	milk.v.01	cow.n.01
person.n.01	move.v.02	refrigerator.n.01
person.n.01	obstruct.v.01	ball.n.03
person.n.01	open.v.01	backpack.n.01
person.n.01	open.v.01	bag.n.06
person.n.01	open.v.01	bottle.n.01
person.n.01	open.v.01	fireplug.n.01
person.n.01	open.v.01	microwave.n.01
person.n.01	open.v.01	oven.n.01
person.n.01	open.v.01	toilet.n.01
person.n.01	open.v.03	laptop.n.01
person.n.01	operate.v.01	horse.n.01
person.n.01	operate.v.01	microwave.n.01
person.n.01	operate.v.01	toaster.n.02
person.n.01	operate.v.03	hand_blower.n.01
person.n.01	operate.v.03	oven.n.01
person.n.01	operate.v.03	television.n.01
person.n.01	own.v.01	bear.n.01
person.n.01	own.v.01	hat.n.01
person.n.01	own.v.01	telephone.n.01
person.n.01	pack.v.01	bag.n.06
person.n.01	paint.v.01	fireplug.n.01
person.n.01	paint.v.02	vase.n.01
person.n.01	park.v.01	bicycle.n.01
person.n.01	park.v.01	motorcycle.n.01
person.n.01	park.v.02	car.n.01
person.n.01	parry.v.01	frisbee.n.01
person.n.01	pay.v.01	parking_meter.n.01
person.n.01	pet.v.01	cat.n.01
person.n.01	pet.v.01	cow.n.01
person.n.01	pet.v.01	dog.n.01
person.n.01	pet.v.01	giraffe.n.01
person.n.01	pet.v.01	horse.n.01
person.n.01	pet.v.01	sheep.n.01
person.n.01	pet.v.01	zebra.n.01
person.n.01	pick.v.01	apple.n.01
person.n.01	pick.v.01	banana.n.01
person.n.01	pick_up.v.01	bag.n.06
person.n.01	pick_up.v.01	skateboard.n.01
person.n.01	pick_up.v.01	sport.n.01
person.n.01	pick_up.v.02	doughnut.n.02
person.n.01	play.v.01	telephone.n.01
person.n.01	play.v.03	keyboard.n.01
person.n.01	play.v.05	ball.n.01
person.n.01	play.v.05	person.n.01
person.n.01	play.v.05	skateboard.n.01
person.n.01	pluck.v.04	orange.n.01
person.n.01	point.v.08	remote_control.n.01
person.n.01	produce.v.02	hotdog.n.02
person.n.01	produce.v.02	pizza.n.01
person.n.01	produce.v.02	sandwich.n.01
person.n.01	pull.v.01	bag.n.06
person.n.01	pull.v.01	baggage.n.01
person.n.01	pull.v.01	boat.n.01
person.n.01	pull.v.01	cart.n.01
person.n.01	pull.v.01	kite.n.03
person.n.01	pull.v.04	necktie.n.01
person.n.01	push.v.01	bicycle.n.01
person.n.01	push.v.01	motorcycle.n.01
person.n.01	put.v.01	clock.n.01
person.n.01	put.v.01	umbrella.n.01
person.n.01	race.v.02	motorcycle.n.01
person.n.01	race.v.04	horse.n.01
person.n.01	raise.v.02	fork.n.01
person.n.01	read.v.01	book.n.01
person.n.01	read.v.01	laptop.n.01
person.n.01	repair.v.01	bicycle.n.01
person.n.01	repair.v.01	boat.n.01
person.n.01	repair.v.01	cellular_telephone.n.01
person.n.01	repair.v.01	hand_blower.n.01
person.n.01	repair.v.01	laptop.n.01
person.n.01	repair.v.01	mouse.n.04
person.n.01	repair.v.01	oven.n.01
person.n.01	repair.v.01	parking_meter.n.01
person.n.01	repair.v.01	sink.n.01
person.n.01	repair.v.01	ski.n.01
person.n.01	repair.v.01	television.n.01
person.n.01	repair.v.01	toaster.n.01
person.n.01	repair.v.01	toilet.n.01
person.n.01	repair.v.01	truck.n.01
